Price,Area,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Refrigerator,State,Country,Latitude,Longitude,Price_per_sqft,Total_Amenities
23.74,634,Ambernath West,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.01775,72.83582,0.037444795,6
23.74,634,Ambernath West,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.01775,72.83582,0.037444795,6
85,1225,Andheri,3,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Maharashtra,India,19.112801,72.86248,0.069387755,8
180,1100,Andheri,2,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Maharashtra,India,19.112801,72.86248,0.163636364,8
140,1000,Andheri,2,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Maharashtra,India,19.112801,72.86248,0.14,8
300,1480,Andheri,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Maharashtra,India,19.112801,72.86248,0.202702703,6
175,650,Andheri,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Maharashtra,India,19.112801,72.86248,0.269230769,5
653,3025,Andheri,4,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.112801,72.86248,0.215867769,15
387,1295,Andheri,3,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.112801,72.86248,0.298841699,12
170,1114,Andheri East,3,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.13142,72.865921,0.152603232,9
200,1260,Andheri East,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.13142,72.865921,0.158730159,19
334,2016,Andheri East,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.13142,72.865921,0.165674603,19
120,1050,Andheri East,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Maharashtra,India,19.13142,72.865921,0.114285714,6
111,655,Andheri East,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.13142,72.865921,0.169465649,5
1100,3300,Andheri West,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.134069,72.83036,0.333333333,0
285,997,Andheri West,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.134069,72.83036,0.285857573,4
550,1950,Andheri West,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,Maharashtra,India,19.134069,72.83036,0.282051282,21
20.35,574,Asangaon,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.445,73.30945,0.035452962,11
210,620,azad nagar,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.11175,72.91506,0.338709677,5
20.1,600,Badlapur,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,18.96905,72.82118,0.0335,7
20.05,575,Badlapur,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,18.96905,72.82118,0.034869565,7
21.7,505,Badlapur,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,18.96905,72.82118,0.042970297,15
28.65,675,Badlapur East,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.15146,72.94575,0.042444444,6
28.65,675,Badlapur East,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.15146,72.94575,0.042444444,6
36.82,715,Badlapur West,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.01775,72.83582,0.051496503,4
36.82,715,Badlapur West,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.01775,72.83582,0.051496503,4
23.99,620,Badlapur West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.01775,72.83582,0.038693548,3
720,1141,Bandra East,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.061119,72.847038,0.631025416,1
300,850,Bandra West,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.061569,72.836868,0.352941176,5
250,850,Bandra West,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.061569,72.836868,0.294117647,3
135,1050,Belapur,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.023491,73.039284,0.128571429,6
180,1335,Belapur,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.023491,73.039284,0.134831461,6
190,1267,Belapur,3,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.023491,73.039284,0.149960537,12
55,425,Bhandup West,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.15185,72.937088,0.129411765,0
68,543,Bhandup West,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.15185,72.937088,0.125230203,7
135,640,Bhandup West,2,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.15185,72.937088,0.2109375,15
55,510,Bhandup West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.15185,72.937088,0.107843137,2
140,800,Bhandup West,2,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.15185,72.937088,0.175,16
90,550,Bhandup West,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.15185,72.937088,0.163636364,3
26,360,Bhayandar East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.27827,72.89072,0.072222222,1
40,568,Bhiwandi,2,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.26527,73.07698,0.070422535,8
69.52,802,Bhiwandi,2,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.26527,73.07698,0.086683292,12
61.37,829,Bhiwandi,2,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.26527,73.07698,0.074028951,12
86,1227,Bhiwandi,3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.26527,73.07698,0.07008965,17
81,1108,Bhiwandi,3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.26527,73.07698,0.073104693,17
81,1032,Bhiwandi,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.26527,73.07698,0.078488372,17
75,985,Bhiwandi,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.26527,73.07698,0.076142132,17
68,880,Bhiwandi,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.26527,73.07698,0.077272727,17
62,829,Bhiwandi,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.26527,73.07698,0.074788902,17
56,802,Bhiwandi,2,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.26527,73.07698,0.069825436,14
170,1105,Borivali East,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.153846154,21
86,700,Borivali East,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.122857143,21
153,950,Borivali East,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.161052632,21
160,1250,Borivali East,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.128,21
260,1840,Borivali East,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.141304348,21
90,400,Borivali East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.225,0
112.99999,600,Borivali East,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.188333317,11
155,907,Borivali East,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.170893054,6
110,600,Borivali East,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.183333333,8
225,1189,Borivali East,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.189234651,6
215,1080,Borivali East,2,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.199074074,15
230,1500,Borivali East,3,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.153333333,17
315,1423,Borivali East,3,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,Maharashtra,India,19.22791,72.86365,0.221363317,24
100,600,Borivali East,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.166666667,6
110,600,Borivali East,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.183333333,14
214,1560,Borivali East,3,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.22791,72.86365,0.137179487,9
335,1785,Borivali West,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,Maharashtra,India,19.2297,72.852173,0.18767507,21
386,2030,Borivali West,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,Maharashtra,India,19.2297,72.852173,0.190147783,21
220,1300,Borivali West,2,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.2297,72.852173,0.169230769,9
162.99999,900,Borivali West,2,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.2297,72.852173,0.1811111,12
110,670,Borivali West,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,Maharashtra,India,19.2297,72.852173,0.164179104,3
130,816,Borivali West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,Maharashtra,India,19.2297,72.852173,0.159313725,4
120,540,Borivali West,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.2297,72.852173,0.222222222,2
800,1500,Breach Candy,2,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Maharashtra,India,18.96247,72.8018,0.533333333,11
501,2800,Central Avenue,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Maharashtra,India,19.11911,72.90911,0.178928571,5
501,2800,Central Avenue,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Maharashtra,India,19.11911,72.90911,0.178928571,4
337,1600,Chembur,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.210625,3
107,715,Chembur,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.14965035,3
150,1016,Chembur,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.147637795,3
185,1000,Chembur,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.185,4
176,1100,Chembur,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.16,3
196,1250,Chembur,2,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.1568,10
215,1200,Chembur,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.179166667,11
145,989,Chembur,2,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.14661274,13
100,440,Chembur,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.227272727,9
95,1005,Chembur,2,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.094527363,12
75,757,Chembur,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.099075297,12
150,800,Chembur,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.1875,3
125,878,Chembur,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.04878,72.905869,0.142369021,11
330,1400,Chembur East,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Maharashtra,India,19.03894,72.89798,0.235714286,4
95,1005,Chembur East,2,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.03894,72.89798,0.094527363,13
75,757,Chembur East,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.03894,72.89798,0.099075297,11
92,400,Chembur Shell Colony,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Maharashtra,India,19.06298,72.89821,0.23,4
650,1200,Churchgate,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,Maharashtra,India,18.92709,72.82968,0.541666667,4
850,2350,Dadar East,4,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Maharashtra,India,19.01302,72.84465,0.361702128,16
121,1150,Dahisar,2,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.251921,72.868179,0.105217391,9
65,650,Dahisar,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Maharashtra,India,19.251921,72.868179,0.1,17
65,566,Dahisar,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.251921,72.868179,0.114840989,4
65,566,Dahisar East,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.25192,72.86818,0.114840989,5
80,650,Dahisar West,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.24869,72.85644,0.123076923,3
145,1000,Dahisar West,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.24869,72.85644,0.145,6
185,1050,Dattapada,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.22291,72.85753,0.176190476,5
210,1250,Dattapada,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.22291,72.85753,0.168,5
150,1050,Dattapada,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.22291,72.85753,0.142857143,5
185,1050,Dattapada,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maharashtra,India,19.22291,72.85753,0.176190476,5
